"Forest area, change (%)"
"HDI Rank (2018)","Country","1990/2016",""
"170","Afghanistan","0",""
"69","Albania","-2.3",""
"82","Algeria","17.8",""
"36","Andorra","0",""
"149","Angola","-5.3",""
"74","Antigua and Barbuda","-4.9",""
"48","Argentina","-22.9",""
"81","Armenia","-0.8",""
"6","Australia","-2.8",""
"20","Austria","2.6",""
"87","Azerbaijan","37.7",""
"60","Bahamas","0",""
"45","Bahrain","145.9",""
"135","Bangladesh","-4.5",""
"56","Barbados","0",""
"50","Belarus","11.1",""
"103","Belize","-15.8",""
"163","Benin","-26",""
"134","Bhutan","35.1",""
"114","Bolivia (Plurinational State of)","-13.2",""
"75","Bosnia and Herzegovina","-1.1",""
"94","Botswana","-21.7",""
"79","Brazil","-9.9",""
"43","Brunei Darussalam","-8",""
"52","Bulgaria","17.6",""
"182","Burkina Faso","-22.7",""
"185","Burundi","-2.9",""
"126","Cabo Verde","57.3",""
"146","Cambodia","-27.9",""
"150","Cameroon","-23.5",""
"13","Canada","-0.4",""
"188","Central African Republic","-1.8",""
"187","Chad","-29.2",""
"42","Chile","18.2",""
"85","China","33.6",""
"79","Colombia","-9.2",""
"156","Comoros","-25.3",""
"138","Congo","-1.8",""
"179","Congo (Democratic Republic of the)","-5",""
"68","Costa Rica","8.7",""
"46","Croatia","3.8",""
"72","Cuba","63.2",""
"31","Cyprus","7.2",""
"26","Czechia","1.6",""
"165","C̫te d'Ivoire","1.7",""
"11","Denmark","14.7",""
"171","Djibouti","0",""
"98","Dominica","-13.9",""
"89","Dominican Republic","82.5",""
"85","Ecuador","-5",""
"116","Egypt","67.3",""
"124","El Salvador","-30.9",""
"144","Equatorial Guinea","-16.3",""
"182","Eritrea","-7.1",""
"30","Estonia","-1.4",""
"138","Eswatini (Kingdom of)","25.1",""
"98","Fiji","7.3",""
"12","Finland","1.8",""
"26","France","18.5",""
"115","Gabon","5.5",""
"174","Gambia","10.8",""
"70","Georgia","2.6",""
"4","Germany","1",""
"142","Ghana","8.6",""
"32","Greece","23.8",""
"78","Grenada","0",""
"126","Guatemala","-26.2",""
"174","Guinea","-12.9",""
"178","Guinea-Bissau","-11.5",""
"123","Guyana","-0.9",""
"169","Haiti","-17.1",""
"132","Honduras","-45",""
"43","Hungary","14.3",""
"6","Iceland","213.7",""
"129","India","10.8",""
"111","Indonesia","-23.8",""
"65","Iran (Islamic Republic of)","17.8",""
"120","Iraq","3.4",""
"3","Ireland","63.4",""
"22","Israel","26.7",""
"29","Italy","23.2",""
"96","Jamaica","-2.8",""
"19","Japan","0",""
"102","Jordan","-0.6",""
"50","Kazakhstan","-3.3",""
"147","Kenya","-5.8",""
"132","Kiribati","0",""
"..","Korea (Democratic People's Rep. of)","-40.2",""
"22","Korea (Republic of)","-4.1",""
"57","Kuwait","81.2",""
"122","Kyrgyzstan","-24.8",""
"140","Lao People's Democratic Republic","7.4",""
"39","Latvia","5.8",""
"93","Lebanon","4.9",""
"164","Lesotho","25",""
"176","Liberia","-15.8",""
"110","Libya","0",""
"18","Liechtenstein","6.2",""
"34","Lithuania","12.3",""
"162","Madagascar","-9.1",""
"172","Malawi","-19.7",""
"61","Malaysia","-0.7",""
"104","Maldives","0",""
"184","Mali","-30.7",""
"28","Malta","0",""
"161","Mauritania","-46.7",""
"66","Mauritius","-6",""
"76","Mexico","-5.5",""
"107","Moldova (Republic of)","29.6",""
"92","Mongolia","-0.6",""
"52","Montenegro","32.1",""
"121","Morocco","13.5",""
"180","Mozambique","-13",""
"145","Myanmar","-27.3",""
"130","Namibia","-21.9",""
"..","Nauru","0",""
"147","Nepal","-24.7",""
"10","Netherlands","9.4",""
"14","New Zealand","5.1",""
"126","Nicaragua","-31",""
"189","Niger","-41.9",""
"158","Nigeria","-61.8",""
"82","North Macedonia","10.3",""
"1","Norway","-0.1",""
"47","Oman","0",""
"152","Pakistan","-43.5",""
"119","Palestine, State of","1",""
"67","Panama","-8.7",""
"155","Papua New Guinea","-0.2",""
"98","Paraguay","-29.1",""
"82","Peru","-5.3",""
"106","Philippines","26.3",""
"32","Poland","6.5",""
"40","Portugal","-7.8",""
"41","Qatar","0",""
"52","Romania","8.4",""
"49","Russian Federation","0.8",""
"157","Rwanda","53.1",""
"73","Saint Kitts and Nevis","0",""
"89","Saint Lucia","-7.2",""
"94","Saint Vincent and the Grenadines","8",""
"111","Samoa","31.5",""
"..","San Marino","0",""
"137","Sao Tome and Principe","-4.3",""
"36","Saudi Arabia","0",""
"166","Senegal","-11.9",""
"63","Serbia","9.9",""
"62","Seychelles","0",""
"181","Sierra Leone","-0.3",""
"9","Singapore","-5.5",""
"36","Slovakia","1",""
"24","Slovenia","5.1",""
"153","Solomon Islands","-6.2",""
"..","Somalia","-24.1",""
"113","South Africa","0",""
"25","Spain","33.6",""
"71","Sri Lanka","-9.7",""
"98","Suriname","-0.7",""
"8","Sweden","0.8",""
"2","Switzerland","9.3",""
"154","Syrian Arab Republic","32.1",""
"125","Tajikistan","1.9",""
"159","Tanzania (United Republic of)","-18.3",""
"77","Thailand","17.3",""
"131","Timor-Leste","-30.1",""
"167","Togo","-75.4",""
"105","Tonga","0",""
"63","Trinidad and Tobago","-1.9",""
"91","Tunisia","63.5",""
"59","Turkey","22.8",""
"108","Turkmenistan","0",""
"..","Tuvalu","0",""
"159","Uganda","-59.3",""
"88","Ukraine","4.4",""
"35","United Arab Emirates","32.1",""
"15","United Kingdom","13.8",""
"15","United States","2.7",""
"57","Uruguay","134.1",""
"108","Uzbekistan","5.4",""
"141","Vanuatu","0",""
"96","Venezuela (Bolivarian Republic of)","-10.6",""
"118","Viet Nam","67.1",""
"177","Yemen","0",""
"143","Zambia","-8.2",""
"150","Zimbabwe","-38",""
"17","Belgium","..",""
"173","Ethiopia","..",""
"135","Micronesia (Federated States of)","..",""
"4","Hong Kong, China (SAR)","..",""
"21","Luxembourg","..",""
"117","Marshall Islands","..",""
"55","Palau","..",""
"168","Sudan","..",""
"186","South Sudan","..",""
"","Human Development"," ",""
" ","Very high human development","1.2",""
" ","High human development","-4.3",""
" ","Medium human development","-7.7",""
" ","Low human development","-12.0",""
" ","Developing Countries","-6.4",""
"","Regions"," ",""
" ","Arab States","-1.9",""
" ","East Asia and the Pacific","3.9",""
" ","Europe and Central Asia","8.6",""
" ","Latin America and the Caribbean","-9.6",""
" ","South Asia","7.8",""
" ","Sub-Saharan Africa","-11.9",""
" ","Least Developed Countries","-11.3",""
" ","Small Island Developing States","1.3",""
" ","Organization for Economic Co-operation and Development","1.6",""
" ","World","-3.0",""
""