"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019","","2030",""
"Total population (millions)
null
Dimension: Demography
Definition: De facto population in a country, area or region as of 1 July.
Source: UNDESA (2019a). World Population Prospects: The 2019 Revision. Rev 1. New York. https://population.un.org/wpp/. Accessed 30 April 2020."
"169"," Afghanistan","12.4","","18.1","","20.8","","25.7","","29.2","","30.1","","31.2","","32.3","","33.4","","34.4","","35.4","","36.3","","37.2","","38.0","","48.1","a"
"69"," Albania","3.3","","3.1","","3.1","","3.1","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","2.8","a"
"91"," Algeria","25.8","","28.8","","31.0","","33.1","","36.0","","36.7","","37.4","","38.1","","38.9","","39.7","","40.6","","41.4","","42.2","","43.1","","50.4","a"
"36"," Andorra","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","a"
"148"," Angola","11.8","","13.9","","16.4","","19.4","","23.4","","24.2","","25.1","","26.0","","26.9","","27.9","","28.8","","29.8","","30.8","","31.8","","44.8","a"
"78"," Antigua and Barbuda","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","a"
"46"," Argentina","32.6","","34.8","","36.9","","38.9","","40.9","","41.3","","41.8","","42.2","","42.6","","43.1","","43.5","","43.9","","44.4","","44.8","","49.1","a"
"81"," Armenia","3.5","","3.2","","3.1","","3.0","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","3.0","","3.0","","3.0","a"
"8"," Australia","17.0","b","18.0","b","19.0","b","20.2","b","22.2","b","22.5","b","22.9","b","23.3","b","23.6","b","23.9","b","24.3","b","24.6","b","24.9","b","25.2","b","28.2","a,b"
"18"," Austria","7.7","","8.0","","8.1","","8.3","","8.4","","8.5","","8.5","","8.6","","8.6","","8.7","","8.7","","8.8","","8.9","","9.0","","9.2","a"
"88"," Azerbaijan","7.2","c","7.8","c","8.1","c","8.5","c","9.0","c","9.1","c","9.3","c","9.4","c","9.5","c","9.6","c","9.7","c","9.8","c","9.9","c","10.0","c","10.7","a,c"
"58"," Bahamas","0.3","","0.3","","0.3","","0.3","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","a"
"42"," Bahrain","0.5","","0.6","","0.7","","0.9","","1.2","","1.3","","1.3","","1.3","","1.3","","1.4","","1.4","","1.5","","1.6","","1.6","","2.0","a"
"133"," Bangladesh","103.2","","115.2","","127.7","","139.0","","147.6","","149.3","","151.0","","152.8","","154.5","","156.3","","158.0","","159.7","","161.4","","163.0","","179.0","a"
"58"," Barbados","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","a"
"53"," Belarus","10.2","","10.1","","9.9","","9.6","","9.4","","9.4","","9.4","","9.4","","9.4","","9.4","","9.4","","9.4","","9.5","","9.5","","9.3","a"
"14"," Belgium","10.0","","10.2","","10.3","","10.5","","10.9","","11.0","","11.1","","11.2","","11.2","","11.3","","11.4","","11.4","","11.5","","11.5","","11.9","a"
"110"," Belize","0.2","","0.2","","0.2","","0.3","","0.3","","0.3","","0.3","","0.3","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.5","a"
"158"," Benin","5.0","","5.9","","6.9","","8.0","","9.2","","9.5","","9.7","","10.0","","10.3","","10.6","","10.9","","11.2","","11.5","","11.8","","15.7","a"
"129"," Bhutan","0.5","","0.5","","0.6","","0.6","","0.7","","0.7","","0.7","","0.7","","0.7","","0.7","","0.7","","0.7","","0.8","","0.8","","0.8","a"
"107"," Bolivia (Plurinational State of)","6.9","","7.6","","8.4","","9.2","","10.0","","10.2","","10.4","","10.5","","10.7","","10.9","","11.0","","11.2","","11.4","","11.5","","13.2","a"
"73"," Bosnia and Herzegovina","4.5","","3.8","","3.8","","3.8","","3.7","","3.7","","3.6","","3.5","","3.5","","3.4","","3.4","","3.4","","3.3","","3.3","","3.1","a"
"100"," Botswana","1.3","","1.5","","1.6","","1.8","","2.0","","2.0","","2.0","","2.1","","2.1","","2.1","","2.2","","2.2","","2.3","","2.3","","2.8","a"
"84"," Brazil","149.0","","162.0","","174.8","","186.1","","195.7","","197.5","","199.3","","201.0","","202.8","","204.5","","206.2","","207.8","","209.5","","211.1","","223.9","a"
"47"," Brunei Darussalam","0.3","","0.3","","0.3","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.5","a"
"56"," Bulgaria","8.8","","8.4","","8.0","","7.7","","7.4","","7.4","","7.3","","7.3","","7.2","","7.2","","7.2","","7.1","","7.1","","7.0","","6.4","a"
"182"," Burkina Faso","8.8","","10.1","","11.6","","13.4","","15.6","","16.1","","16.6","","17.1","","17.6","","18.1","","18.6","","19.2","","19.8","","20.3","","27.4","a"
"185"," Burundi","5.4","","6.0","","6.4","","7.4","","8.7","","9.0","","9.2","","9.5","","9.8","","10.2","","10.5","","10.8","","11.2","","11.5","","15.8","a"
"126"," Cabo Verde","0.3","","0.4","","0.4","","0.5","","0.5","","0.5","","0.5","","0.5","","0.5","","0.5","","0.5","","0.5","","0.5","","0.6","","0.6","a"
"144"," Cambodia","9.0","","10.7","","12.2","","13.3","","14.3","","14.5","","14.8","","15.0","","15.3","","15.5","","15.8","","16.0","","16.3","","16.5","","18.8","a"
"153"," Cameroon","11.8","","13.6","","15.5","","17.7","","20.3","","20.9","","21.5","","22.1","","22.7","","23.3","","23.9","","24.6","","25.2","","25.9","","33.8","a"
"16"," Canada","27.5","","29.2","","30.6","","32.2","","34.1","","34.5","","34.9","","35.3","","35.7","","36.0","","36.4","","36.7","","37.1","","37.4","","40.8","a"
"188"," Central African Republic","2.8","","3.2","","3.6","","4.0","","4.4","","4.4","","4.4","","4.4","","4.5","","4.5","","4.5","","4.6","","4.7","","4.7","","5.9","a"
"187"," Chad","6.0","","7.0","","8.4","","10.1","","12.0","","12.4","","12.8","","13.2","","13.7","","14.1","","14.6","","15.0","","15.5","","15.9","","21.7","a"
"43"," Chile","13.3","","14.4","","15.3","","16.2","","17.1","","17.2","","17.4","","17.6","","17.8","","18.0","","18.2","","18.5","","18.7","","19.0","","19.5","a"
"85"," China","1176.9","","1240.9","","1290.6","","1330.8","","1368.8","","1376.5","","1384.2","","1391.9","","1399.5","","1406.8","","1414.0","","1421.0","","1427.6","","1433.8","","1464.3","a"
"83"," Colombia","33.1","","36.4","","39.6","","42.6","","45.2","","45.7","","46.1","","46.5","","47.0","","47.5","","48.2","","48.9","","49.7","","50.3","","53.4","a"
"156"," Comoros","0.4","","0.5","","0.5","","0.6","","0.7","","0.7","","0.7","","0.7","","0.8","","0.8","","0.8","","0.8","","0.8","","0.9","","1.1","a"
"149"," Congo","2.4","","2.7","","3.1","","3.6","","4.3","","4.4","","4.5","","4.6","","4.7","","4.9","","5.0","","5.1","","5.2","","5.4","","7.0","a"
"175"," Congo (Democratic Republic of the)","34.6","","41.6","","47.1","","54.8","","64.6","","66.8","","69.0","","71.4","","73.8","","76.2","","78.8","","81.4","","84.1","","86.8","","120.0","a"
"62"," Costa Rica","3.1","","3.5","","4.0","","4.3","","4.6","","4.6","","4.7","","4.7","","4.8","","4.8","","4.9","","5.0","","5.0","","5.0","","5.5","a"
"43"," Croatia","4.8","","4.6","","4.4","","4.4","","4.3","","4.3","","4.3","","4.3","","4.3","","4.2","","4.2","","4.2","","4.2","","4.1","","3.9","a"
"70"," Cuba","10.6","","10.9","","11.1","","11.3","","11.2","","11.2","","11.3","","11.3","","11.3","","11.3","","11.3","","11.3","","11.3","","11.3","","11.1","a"
"33"," Cyprus","0.8","d","0.9","d","0.9","d","1.0","d","1.1","d","1.1","d","1.1","d","1.1","d","1.2","d","1.2","d","1.2","d","1.2","d","1.2","d","1.2","d","1.3","a,d"
"27"," Czechia","10.3","","10.4","","10.3","","10.3","","10.5","","10.6","","10.6","","10.6","","10.6","","10.6","","10.6","","10.6","","10.7","","10.7","","10.7","a"
"162"," Côte d'Ivoire","11.9","","14.2","","16.5","","18.4","","20.5","","21.0","","21.5","","22.1","","22.6","","23.2","","23.8","","24.4","","25.1","","25.7","","33.7","a"
"10"," Denmark","5.1","","5.2","","5.3","","5.4","","5.6","","5.6","","5.6","","5.6","","5.7","","5.7","","5.7","","5.7","","5.8","","5.8","","6.0","a"
"166"," Djibouti","0.6","","0.6","","0.7","","0.8","","0.8","","0.9","","0.9","","0.9","","0.9","","0.9","","0.9","","0.9","","1.0","","1.0","","1.1","a"
"94"," Dominica","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","a"
"88"," Dominican Republic","7.1","","7.8","","8.5","","9.1","","9.7","","9.8","","9.9","","10.0","","10.2","","10.3","","10.4","","10.5","","10.6","","10.7","","11.8","a"
"86"," Ecuador","10.2","","11.5","","12.7","","13.8","","15.0","","15.2","","15.5","","15.7","","16.0","","16.2","","16.5","","16.8","","17.1","","17.4","","19.8","a"
"116"," Egypt","56.1","","62.3","","68.8","","75.5","","82.8","","84.5","","86.4","","88.4","","90.4","","92.4","","94.4","","96.4","","98.4","","100.4","","120.8","a"
"124"," El Salvador","5.3","","5.6","","5.9","","6.1","","6.2","","6.2","","6.2","","6.3","","6.3","","6.3","","6.4","","6.4","","6.4","","6.5","","6.8","a"
"145"," Equatorial Guinea","0.4","","0.5","","0.6","","0.8","","0.9","","1.0","","1.0","","1.1","","1.1","","1.2","","1.2","","1.3","","1.3","","1.4","","1.9","a"
"180"," Eritrea","2.3","","2.2","","2.3","","2.8","","3.2","","3.2","","3.3","","3.3","","3.3","","3.3","","3.4","","3.4","","3.5","","3.5","","4.2","a"
"29"," Estonia","1.6","","1.4","","1.4","","1.4","","1.3","","1.3","","1.3","","1.3","","1.3","","1.3","","1.3","","1.3","","1.3","","1.3","","1.3","a"
"138"," Eswatini (Kingdom of)","0.8","","0.9","","1.0","","1.0","","1.1","","1.1","","1.1","","1.1","","1.1","","1.1","","1.1","","1.1","","1.1","","1.1","","1.3","a"
"173"," Ethiopia","47.9","","57.0","","66.2","","76.3","","87.6","","90.1","","92.7","","95.4","","98.1","","100.8","","103.6","","106.4","","109.2","","112.1","","144.9","a"
"93"," Fiji","0.7","","0.8","","0.8","","0.8","","0.9","","0.9","","0.9","","0.9","","0.9","","0.9","","0.9","","0.9","","0.9","","0.9","","1.0","a"
"11"," Finland","5.0","e","5.1","e","5.2","e","5.3","e","5.4","e","5.4","e","5.4","e","5.4","e","5.5","e","5.5","e","5.5","e","5.5","e","5.5","e","5.5","e","5.6","a,e"
"26"," France","56.7","","57.8","","59.0","","61.1","","62.9","","63.2","","63.6","","63.9","","64.2","","64.5","","64.7","","64.8","","65.0","","65.1","","66.7","a"
"119"," Gabon","0.9","","1.1","","1.2","","1.4","","1.6","","1.7","","1.8","","1.8","","1.9","","1.9","","2.0","","2.1","","2.1","","2.2","","2.7","a"
"172"," Gambia","1.0","","1.1","","1.3","","1.5","","1.8","","1.8","","1.9","","2.0","","2.0","","2.1","","2.1","","2.2","","2.3","","2.3","","3.2","a"
"61"," Georgia","5.4","f","5.0","f","4.4","f","4.2","f","4.1","f","4.1","f","4.1","f","4.0","f","4.0","f","4.0","f","4.0","f","4.0","f","4.0","f","4.0","f","3.9","a,f"
"6"," Germany","79.1","","81.1","","81.4","","81.6","","80.8","","80.9","","81.0","","81.2","","81.5","","81.8","","82.2","","82.7","","83.1","","83.5","","83.1","a"
"138"," Ghana","14.8","","17.0","","19.3","","21.8","","24.8","","25.4","","26.0","","26.6","","27.2","","27.8","","28.5","","29.1","","29.8","","30.4","","37.8","a"
"32"," Greece","10.2","","10.7","","11.1","","11.2","","10.9","","10.8","","10.8","","10.7","","10.7","","10.7","","10.6","","10.6","","10.5","","10.5","","9.9","a"
"74"," Grenada","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","a"
"127"," Guatemala","9.3","","10.4","","11.7","","13.1","","14.6","","14.9","","15.3","","15.6","","15.9","","16.3","","16.6","","16.9","","17.2","","17.6","","21.2","a"
"178"," Guinea","6.4","","7.3","","8.2","","9.1","","10.2","","10.4","","10.7","","10.9","","11.2","","11.4","","11.7","","12.1","","12.4","","12.8","","17.0","a"
"175"," Guinea-Bissau","1.0","","1.1","","1.2","","1.3","","1.5","","1.6","","1.6","","1.6","","1.7","","1.7","","1.8","","1.8","","1.9","","1.9","","2.5","a"
"122"," Guyana","0.7","","0.8","","0.7","","0.7","","0.7","","0.8","","0.8","","0.8","","0.8","","0.8","","0.8","","0.8","","0.8","","0.8","","0.8","a"
"170"," Haiti","7.0","","7.7","","8.5","","9.2","","9.9","","10.1","","10.3","","10.4","","10.5","","10.7","","10.8","","11.0","","11.1","","11.3","","12.7","a"
"132"," Honduras","5.0","","5.7","","6.6","","7.5","","8.3","","8.5","","8.6","","8.8","","9.0","","9.1","","9.3","","9.4","","9.6","","9.7","","11.4","a"
"4"," Hong Kong, China (SAR)","5.7","","6.1","","6.6","","6.8","","7.0","","7.0","","7.0","","7.1","","7.1","","7.2","","7.2","","7.3","","7.4","","7.4","","8.0","a"
"40"," Hungary","10.4","","10.3","","10.2","","10.1","","9.9","","9.9","","9.9","","9.8","","9.8","","9.8","","9.8","","9.7","","9.7","","9.7","","9.3","a"
"4"," Iceland","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.4","a"
"131"," India","873.3","","963.9","","1056.6","","1147.6","","1234.3","","1250.3","","1265.8","","1280.8","","1295.6","","1310.2","","1324.5","","1338.7","","1352.6","","1366.4","","1503.6","a"
"107"," Indonesia","181.4","","196.9","","211.5","","226.3","","241.8","","245.1","","248.5","","251.8","","255.1","","258.4","","261.6","","264.7","","267.7","","270.6","","299.2","a"
"70"," Iran (Islamic Republic of)","56.4","","61.4","","65.6","","69.8","","73.8","","74.6","","75.5","","76.5","","77.5","","78.5","","79.6","","80.7","","81.8","","82.9","","92.7","a"
"123"," Iraq","17.4","","20.1","","23.5","","26.9","","29.7","","30.7","","31.9","","33.2","","34.4","","35.6","","36.6","","37.6","","38.4","","39.3","","50.2","a"
"2"," Ireland","3.5","","3.6","","3.8","","4.1","","4.6","","4.6","","4.6","","4.6","","4.6","","4.7","","4.7","","4.8","","4.8","","4.9","","5.2","a"
"19"," Israel","4.4","","5.3","","5.9","","6.5","","7.3","","7.5","","7.6","","7.7","","7.9","","8.0","","8.1","","8.2","","8.4","","8.5","","10.0","a"
"29"," Italy","57.0","","57.2","","56.7","","58.3","","59.3","","59.6","","59.9","","60.2","","60.4","","60.6","","60.7","","60.7","","60.6","","60.5","","59.0","a"
"101"," Jamaica","2.4","","2.5","","2.7","","2.7","","2.8","","2.8","","2.8","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","2.9","","3.0","a"
"19"," Japan","124.5","","126.4","","127.5","","128.3","","128.5","","128.5","","128.4","","128.3","","128.2","","128.0","","127.8","","127.5","","127.2","","126.9","","120.8","a"
"102"," Jordan","3.6","","4.6","","5.1","","5.8","","7.3","","7.7","","8.1","","8.5","","8.9","","9.3","","9.6","","9.8","","10.0","","10.1","","10.7","a"
"51"," Kazakhstan","16.4","","15.8","","14.9","","15.4","","16.3","","16.5","","16.8","","17.0","","17.3","","17.6","","17.8","","18.1","","18.3","","18.6","","20.6","a"
"143"," Kenya","23.7","","27.8","","32.0","","36.6","","42.0","","43.2","","44.3","","45.5","","46.7","","47.9","","49.1","","50.2","","51.4","","52.6","","66.5","a"
"134"," Kiribati","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","a"
".."," Korea (Democratic People's Rep. of)","20.3","","21.9","","22.9","","23.9","","24.5","","24.7","","24.8","","24.9","","25.1","","25.2","","25.3","","25.4","","25.6","","25.7","","26.7","a"
"23"," Korea (Republic of)","42.9","","45.3","","47.4","","48.7","","49.5","","49.8","","50.1","","50.3","","50.6","","50.8","","51.0","","51.1","","51.2","","51.2","","51.2","a"
"64"," Kuwait","2.1","","1.6","","2.0","","2.3","","3.0","","3.2","","3.3","","3.5","","3.7","","3.8","","4.0","","4.1","","4.1","","4.2","","4.7","a"
"120"," Kyrgyzstan","4.4","","4.6","","4.9","","5.1","","5.4","","5.5","","5.6","","5.7","","5.8","","6.0","","6.1","","6.2","","6.3","","6.4","","7.4","a"
"137"," Lao People's Democratic Republic","4.3","","4.8","","5.3","","5.8","","6.2","","6.3","","6.4","","6.5","","6.6","","6.7","","6.8","","7.0","","7.1","","7.2","","8.2","a"
"37"," Latvia","2.7","","2.5","","2.4","","2.3","","2.1","","2.1","","2.1","","2.0","","2.0","","2.0","","2.0","","2.0","","1.9","","1.9","","1.7","a"
"92"," Lebanon","2.8","","3.5","","3.8","","4.7","","5.0","","5.2","","5.5","","5.9","","6.3","","6.5","","6.7","","6.8","","6.9","","6.9","","6.2","a"
"165"," Lesotho","1.7","","1.9","","2.0","","2.0","","2.0","","2.0","","2.0","","2.0","","2.0","","2.1","","2.1","","2.1","","2.1","","2.1","","2.3","a"
"175"," Liberia","2.1","","2.0","","2.8","","3.2","","3.9","","4.0","","4.1","","4.2","","4.4","","4.5","","4.6","","4.7","","4.8","","4.9","","6.4","a"
"105"," Libya","4.4","","4.9","","5.4","","5.8","","6.2","","6.2","","6.3","","6.3","","6.4","","6.4","","6.5","","6.6","","6.7","","6.8","","7.6","a"
"19"," Liechtenstein","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"34"," Lithuania","3.7","","3.6","","3.5","","3.3","","3.1","","3.1","","3.0","","3.0","","3.0","","2.9","","2.9","","2.8","","2.8","","2.8","","2.5","a"
"23"," Luxembourg","0.4","","0.4","","0.4","","0.5","","0.5","","0.5","","0.5","","0.5","","0.6","","0.6","","0.6","","0.6","","0.6","","0.6","","0.7","a"
"164"," Madagascar","11.6","","13.5","","15.8","","18.3","","21.2","","21.7","","22.3","","23.0","","23.6","","24.2","","24.9","","25.6","","26.3","","27.0","","35.6","a"
"174"," Malawi","9.4","","9.8","","11.1","","12.6","","14.5","","15.0","","15.4","","15.8","","16.3","","16.7","","17.2","","17.7","","18.1","","18.6","","24.8","a"
