Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3
Albania,7.4,0.5,0.3,0.4,0.9,1.8,2.0,2.2,2.4,1.1,0.6,1.1
Algeria,12.3,11.2,16.9,23.9,17.7,20.8,20.5,18.4,15.9,10.4,7.7,9.3
Angola,27.3,37.2,47.1,35.8,33.7,33.5,30.0,25.5,19.6,8.8,8.7,12.8
Argentina,2.2,1.1,2.0,5.3,2.8,3.2,3.1,2.7,2.4,1.0,0.9,1.0
Armenia,,,0.2,0.4,1.6,2.4,2.3,1.9,1.9,2.1,2.4,2.9
Australia,2.0,1.1,1.8,2.6,3.3,3.8,3.1,2.8,2.9,2.1,2.7,3.0
Austria,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1
Azerbaijan,,,27.4,20.5,23.8,25.2,21.8,18.5,15.3,9.4,10.3,13.4
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,10.5,3.9,5.2,5.7,5.3,7.4,8.3,9.0,8.9,4.6,3.0,3.2
Bangladesh,0.4,0.4,0.4,0.6,0.9,1.3,1.3,1.0,1.0,0.8,0.5,0.6
Barbados,0.4,0.2,0.4,0.3,0.3,0.5,0.5,0.4,0.3,0.1,0.0,0.0
Belarus,,0.6,1.4,1.0,0.7,1.0,0.9,0.7,0.7,0.4,0.4,0.6
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,0.0,0.0,0.0,0.0,5.0,6.4,4.2,2.9,1.9,0.6,0.3,0.5
Benin,0.5,0.3,0.5,0.7,1.3,1.3,1.6,1.4,1.5,1.7,1.9,1.8
Bhutan,3.5,3.6,2.2,1.5,3.3,3.0,2.7,2.2,2.2,2.6,3.0,2.7
Bolivia (Plurinational State of),4.8,2.8,3.3,7.4,7.0,9.8,11.1,11.1,9.7,5.0,4.3,5.8
Bosnia and Herzegovina,,0.6,0.4,0.3,0.4,0.7,0.5,0.5,0.4,0.3,0.4,0.4
Botswana,1.0,0.5,0.8,2.9,3.1,2.0,1.9,1.8,1.3,0.6,0.5,0.5
Brazil,1.5,0.7,1.7,2.6,2.1,2.5,2.3,2.1,2.2,1.6,1.5,1.9
Brunei Darussalam,23.6,12.0,20.7,23.1,18.3,21.3,18.5,14.6,13.0,10.8,8.6,10.9
Bulgaria,0.4,0.8,0.5,0.7,1.1,1.3,1.2,0.9,0.8,0.7,0.6,0.7
Burkina Faso,2.3,6.3,1.8,3.9,10.6,14.0,14.0,12.6,12.7,15.0,16.0,15.0
Burundi,13.0,23.5,14.5,26.3,23.7,24.9,17.3,17.2,16.5,15.2,16.4,15.7
Cabo Verde,0.3,0.4,0.2,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5
Cambodia,,5.7,1.2,1.1,1.6,1.8,1.3,1.1,1.6,1.0,1.1,1.0
Cameroon,8.9,3.2,7.5,5.0,4.4,5.2,5.4,4.7,4.0,2.1,1.7,2.5
Canada,1.3,1.1,2.1,2.5,0.8,1.0,0.8,0.8,0.8,0.5,0.6,0.7
Central African Republic,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chad,0.0,1.3,2.4,28.4,14.0,17.4,15.8,12.1,11.2,7.7,7.6,13.1
Chile,6.0,4.1,4.8,8.5,10.0,9.9,8.7,7.8,7.5,6.3,5.6,6.5
China,5.1,1.6,1.8,3.3,4.0,5.2,2.5,1.9,1.5,0.8,0.7,0.9
Colombia,5.4,2.1,4.9,5.5,5.5,8.1,7.1,6.4,5.6,3.3,2.6,3.4
Comoros,0.0,0.6,0.7,0.8,1.1,1.1,1.3,1.3,1.4,1.8,1.8,1.8
Congo,35.4,35.3,55.5,57.8,49.1,57.9,51.3,38.3,32.2,13.9,12.4,31.4
Congo (Democratic Republic of the),,1.5,0.6,8.5,17.5,22.3,23.6,27.3,26.5,22.9,20.4,23.2
Costa Rica,2.7,2.4,0.8,0.8,1.3,1.0,1.0,1.1,1.3,1.0,1.2,0.3
Croatia,,0.4,0.7,0.5,0.7,0.9,0.8,0.7,0.5,0.4,0.2,0.3
Cuba,0.3,0.3,1.0,1.4,1.8,2.3,1.9,1.7,1.4,0.5,,
Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Czechia,,0.1,0.1,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.0,0.1
C̫te d'Ivoire,0.0,0.2,0.5,3.2,3.7,5.5,4.8,3.7,2.7,1.8,2.2,
Denmark,0.4,0.2,1.3,1.4,1.2,1.5,1.4,1.0,0.8,0.4,0.3,0.4
Djibouti,,,,,,,,0.8,1.1,0.9,0.7,0.7
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,0.5,0.9,0.5,1.2,0.1,0.5,0.6,1.2,1.3,1.0,1.4,1.6
Ecuador,11.3,5.2,10.1,11.7,6.1,8.0,7.2,6.5,6.1,2.6,2.0,2.9
Egypt,15.6,6.9,5.3,10.3,6.6,9.0,8.0,7.4,6.5,3.0,2.3,4.0
El Salvador,0.8,0.7,0.5,0.4,1.0,0.8,0.8,0.9,1.1,0.8,1.0,1.0
Equatorial Guinea,0.0,2.4,89.3,91.2,52.0,48.6,49.9,40.5,37.7,20.0,15.4,22.9
Eritrea,,8.6,4.8,3.2,1.8,15.1,,,,,,
Estonia,,,0.1,0.1,0.9,1.4,0.9,0.6,0.5,0.2,0.2,0.2
Eswatini (Kingdom of),2.9,2.1,1.6,1.0,1.2,1.2,1.7,2.0,1.8,1.8,1.9,1.7
Ethiopia,9.5,26.3,15.7,20.1,14.2,15.8,13.6,12.7,11.6,10.7,10.1,9.4
Fiji,0.3,0.7,0.4,0.0,1.4,1.4,1.5,0.8,0.7,0.7,0.8,0.8
Finland,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,29.8,24.7,33.7,26.2,24.6,28.4,26.4,21.9,17.0,7.3,6.5,10.5
Gambia,4.5,2.9,2.2,4.3,4.9,7.0,9.0,5.7,5.7,6.1,5.9,5.7
Georgia,,,0.3,0.3,1.1,1.7,1.0,0.8,0.5,0.6,0.7,0.7
Germany,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Ghana,1.2,6.8,7.2,10.0,10.1,14.1,14.9,9.7,11.8,10.5,9.9,11.4
Greece,0.1,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.1
Guatemala,1.7,1.3,1.1,0.9,2.3,2.5,1.9,2.0,2.5,1.7,1.7,1.7
Guinea,9.4,10.8,7.5,13.9,15.1,17.4,16.8,14.4,13.9,14.2,15.2,13.0
Guinea-Bissau,0.0,2.7,4.1,7.0,10.1,9.0,11.6,11.8,12.0,13.2,12.4,11.4
Guyana,0.8,0.4,0.4,0.2,7.8,11.6,13.9,11.5,7.7,7.9,13.0,13.3
Haiti,0.7,1.2,0.6,0.6,1.1,0.9,0.8,0.9,1.1,0.9,1.2,1.2
Honduras,1.3,1.1,0.8,0.8,1.8,1.7,1.5,1.7,2.1,1.5,1.7,1.6
Hungary,,0.3,0.4,0.2,0.4,0.5,0.5,0.4,0.3,0.2,0.1,0.2
Iceland,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,2.0,1.3,1.4,1.9,2.2,2.5,1.9,1.7,1.4,0.9,0.9,1.0
Indonesia,9.1,3.6,7.8,7.1,4.5,5.5,4.4,4.0,3.0,2.0,1.6,1.9
Iran (Islamic Republic of),6.6,6.8,10.8,9.5,5.8,6.9,4.8,5.3,5.2,3.2,3.2,4.6
Iraq,1.8,,,9.3,8.3,9.0,9.6,9.4,10.4,9.5,8.8,10.9
Ireland,0.2,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
Israel,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1
Italy,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0
Jamaica,1.2,0.5,0.3,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3
Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.2,0.2,0.3,0.2,0.1
Kazakhstan,,4.0,18.5,20.6,11.9,13.8,13.0,10.7,9.5,5.4,6.5,8.7
Kenya,5.0,7.4,3.3,3.9,3.0,3.2,3.3,3.0,2.8,2.8,2.7,2.5
Kiribati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Korea (Republic of),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuwait,2.5,6.3,8.2,12.4,9.9,14.3,15.6,14.5,13.2,9.0,7.7,8.1
Kyrgyzstan,,,0.5,0.5,8.4,10.0,5.2,7.1,5.6,5.5,6.6,6.3
Lao People's Democratic Republic,3.9,5.6,2.6,3.5,10.2,10.9,9.2,7.6,7.2,5.4,4.9,6.3
Latvia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesotho,2.4,3.0,2.7,2.6,2.9,3.0,3.7,4.1,4.4,4.9,5.5,5.1
Liberia,,,0.3,1.4,16.2,15.5,17.5,16.5,17.5,17.8,18.5,19.2
Libya,,,,22.3,17.0,4.1,16.9,10.2,4.6,3.0,2.2,6.7
Lithuania,,0.1,0.3,0.2,,,,,,,,
Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.7,1.7,1.3,0.8,0.8
Malawi,7.6,16.0,8.6,5.6,5.0,4.9,7.4,8.3,7.9,8.0,9.4,8.2
Malaysia,8.0,2.6,5.6,6.9,5.3,6.1,5.8,4.9,4.6,3.4,2.4,3.1
Maldives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,1.8,4.0,2.5,2.3,9.6,10.5,13.7,11.0,9.4,10.0,10.3,9.5
Mauritania,4.8,3.7,5.3,10.4,19.1,19.3,20.1,18.9,16.2,11.8,11.4,12.4
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,3.5,1.6,2.6,5.0,4.0,5.7,5.5,4.9,4.0,2.0,1.8,2.2
Moldova (Republic of),,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.2,0.2
Mongolia,3.8,8.3,3.6,8.3,17.4,20.1,12.0,11.3,15.1,12.1,13.5,22.8
Montenegro,,,,,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.5
Morocco,0.1,0.0,0.1,0.1,0.4,0.5,0.4,0.3,0.4,0.4,0.3,0.3
Mozambique,0.0,0.0,0.0,0.8,1.9,2.8,3.1,2.7,0.4,0.3,0.4,1.3
Myanmar,,,1.2,4.9,2.0,2.6,2.9,2.6,3.5,3.7,2.4,2.7
Namibia,4.3,0.6,0.1,0.4,1.4,1.5,1.3,1.1,1.3,1.8,2.3,2.6
Nepal,1.7,1.3,1.1,0.7,1.3,1.1,0.9,0.8,0.8,0.9,1.0,0.9
Netherlands,0.4,0.2,0.3,0.4,0.7,0.9,1.1,1.1,0.7,0.4,0.2,0.3
New Zealand,0.7,0.4,0.9,0.4,1.1,1.2,1.1,0.9,0.9,0.7,0.5,0.5
Nicaragua,4.2,1.5,0.9,0.8,3.2,3.5,3.6,3.7,3.7,2.6,3.0,2.9
Niger,3.8,9.7,7.9,7.9,8.9,10.2,11.7,13.4,11.7,12.0,12.2,11.9
Nigeria,15.8,12.3,14.0,11.4,8.0,10.1,8.6,6.5,5.1,2.7,2.6,4.4
Norway,5.7,4.0,10.0,8.6,7.0,8.6,8.0,6.7,6.0,3.9,3.1,4.4
Oman,38.8,24.7,35.8,34.1,30.1,39.0,36.9,35.8,32.3,18.5,15.4,18.1
Pakistan,1.4,0.7,1.2,1.8,1.5,2.1,2.0,1.8,1.7,1.0,0.7,0.8
Panama,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1
Papua New Guinea,13.5,22.2,22.1,25.3,19.6,18.9,14.5,10.8,11.7,13.7,14.0,14.0
Paraguay,,2.9,1.7,1.8,2.0,1.5,1.5,1.5,1.6,1.5,1.7,1.6
Peru,5.5,1.4,1.2,3.2,5.8,7.1,6.1,4.8,3.8,3.7,4.6,5.5
Philippines,1.2,0.8,0.4,0.5,2.0,3.1,2.3,1.6,2.2,1.2,0.7,0.7
Poland,,0.3,0.2,0.4,0.5,0.6,0.5,0.4,0.4,0.3,0.3,0.4
Portugal,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Qatar,27.7,18.3,33.5,22.3,15.3,18.3,16.2,14.8,12.8,7.7,6.2,7.4
Romania,3.1,1.2,1.9,1.3,1.0,1.6,1.6,1.3,0.9,0.6,0.4,0.5
Russian Federation,,2.9,9.3,9.7,8.3,9.6,8.7,7.7,7.5,5.5,4.7,5.8
Rwanda,4.4,11.7,5.6,6.3,5.9,6.0,5.9,5.7,5.8,5.9,5.8,5.4
Saint Lucia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samoa,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sao Tome and Principe,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,11.0,8.4,12.9,16.1,10.9,15.8,15.8,14.6,13.3,8.0,6.8,7.9
Senegal,0.0,0.0,0.1,0.0,0.6,0.9,1.8,1.0,1.0,1.3,1.4,1.0
Serbia,,,,,0.6,0.9,0.8,0.6,0.6,0.4,0.4,0.4
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra Leone,16.5,15.6,13.7,9.4,9.3,9.7,11.3,15.0,12.4,9.5,12.6,12.9
Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovakia,,0.0,0.0,0.0,0.1,0.0,0.2,0.2,0.2,0.1,0.0,0.0
Slovenia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Islands,0.4,4.6,1.2,8.4,22.5,26.7,24.0,19.7,22.7,19.2,17.0,20.9
South Africa,2.8,1.9,1.5,2.7,4.4,5.0,4.2,4.1,3.3,2.2,2.5,2.7
South Sudan,,,,,,,0.4,7.3,10.0,3.9,14.0,
Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sudan,,,,,,12.9,3.5,6.4,3.3,2.5,3.1,2.8
Suriname,7.5,3.0,8.1,6.6,18.2,28.3,27.2,21.5,17.5,13.0,23.2,28.1
Sweden,0.1,0.0,0.0,0.1,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.2
Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syrian Arab Republic,23.9,22.3,22.8,18.9,,,,,,,,
Tajikistan,,,,0.1,0.7,1.0,1.1,0.9,1.1,1.4,2.7,3.5
Tanzania (United Republic of),0.0,0.0,0.0,0.1,2.7,3.9,3.7,2.7,2.1,2.0,2.2,2.2
Thailand,0.8,0.5,1.3,2.3,2.5,2.8,2.9,2.6,2.7,1.9,1.5,1.6
Timor-Leste,,,,,51.0,51.7,51.1,48.1,55.8,43.7,30.8,29.7
Togo,5.6,12.1,7.2,5.8,12.5,18.0,24.5,19.9,16.9,15.6,15.2,13.4
Tonga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trinidad and Tobago,18.0,9.4,11.6,13.6,12.0,16.4,15.7,14.9,11.4,6.2,3.8,6.9
Tunisia,3.4,2.4,2.9,3.1,4.7,5.0,5.3,4.4,3.5,2.0,1.6,1.6
Turkey,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.2,0.2,0.1,0.2
Turkmenistan,,,42.9,37.6,12.9,16.9,,,,,,
Uganda,15.9,19.5,12.1,14.3,10.8,12.7,12.8,12.3,11.8,12.7,14.8,14.1
Ukraine,,0.6,1.5,1.3,2.5,2.7,1.9,2.0,1.7,0.7,0.9,1.0
United Arab Emirates,,,4.7,6.1,5.5,8.0,8.3,7.4,6.8,4.1,3.4,4.0
United Kingdom,0.9,0.5,1.0,0.8,0.9,1.0,0.8,0.7,0.5,0.3,0.3,0.4
United States,0.8,0.4,0.7,0.8,0.3,0.5,0.3,0.4,0.3,0.1,0.1,0.2
Uruguay,0.4,0.3,0.0,0.3,1.4,0.9,0.7,0.8,1.1,1.2,1.3,1.2
Uzbekistan,,,11.5,14.2,13.1,16.4,15.7,14.3,10.2,7.1,5.8,9.4
Vanuatu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venezuela (Bolivarian Republic of),9.5,5.4,6.9,11.2,1.2,2.4,1.8,1.7,1.0,,,
Viet Nam,8.1,4.9,5.7,7.4,3.5,4.1,3.8,2.9,2.5,1.3,0.9,1.0
Yemen,17.8,33.0,35.3,33.1,13.7,13.4,8.2,9.2,6.1,0.2,0.0,0.2
Zambia,8.9,4.8,0.5,5.0,12.1,12.1,10.1,9.5,7.9,7.7,7.3,8.3
Zimbabwe,1.0,1.2,0.5,2.3,3.1,4.7,3.9,2.8,3.0,2.8,2.9,3.1
